id,start date,type,district,locality,address,Filter the word Street,Latitude,Longitude,Validate Geolocation
105,15.1.2016,infrastructure,ILINDEN,VALCHO IVANOV - SEVER,street PLOVDIV 20,street,42.7115401,23.295978,Pass
144,14.3.2016,infrastructure,ILINDEN,ZAHARNA FABRIKA,street KUKUSH 2; ZAHARNA FABRIKA,street,42.7159386,23.2858137,Pass
163,29.3.2016,non-residential,ILINDEN,RAZSADNIKA - BEZHANTSI,street SLIVNITSA 127,street,42.8519742,23.0378716,Pass
219,12.5.2016,non-residential,ILINDEN,VALCHO IVANOV - SEVER,,,42.712778,23.29,Pass
235,20.5.2016,non-residential,ILINDEN,ZONA V-17,street SLIVNITSA 45,street,42.8519742,23.0378716,Pass
408,09.9.2016,infrastructure,ILINDEN,GEVGELIYSKI KVARTAL,,,42.7087558,23.2817702,Pass
106,15.1.2016,non-residential,SREDETS,,street G. S. RAKOVSKI 151,street,42.691507,23.323151,FIXED
439,30.9.2016,infrastructure,ILINDEN,VALCHO IVANOV - SEVER,SVETA TROITSA; block  174,SVETA,42.7101144,23.2944535,Pass
440,30.9.2016,infrastructure,ILINDEN,VALCHO IVANOV - SEVER,SVETA TROITSA; block  353,SVETA,42.7124292,23.2963978,Pass
216,12.5.2016,big housing,IZGREV,IZTOK-IZTOK,street F. ZH. KYURI 11,street,42.6730385,23.3521317,FIXED
483,27.10.2016,big housing,ILINDEN,ZONA V-17,street GEN. NIKOLAY G. STOLETOV 12,street,41.9881663,21.642224,Pass
103,13.1.2016,infrastructure,ISKAR,NADEZHDA 2A 2B,,,42.7325,23.298611,Pass
132,01.3.2016,non-residential,ISKAR,ISKAR-SEVER 2,street ISKARSKO SHOSE,street,42.6685098,23.4020947,Pass
171,07.4.2016,big housing,ISKAR,ISKAR-YUG,,,42.662778,23.418611,Pass
242,27.5.2016,non-residential,ISKAR,DRUZHBA 1,,,42.669322,23.3920097,Pass
244,30.5.2016,non-residential,ISKAR,ISKAR-SEVER,,,43.1684489,23.9018279,Pass
249,02.6.2016,infrastructure,ISKAR,,street OBIKOLNA; DRUZHBA 2,street,42.6471795,23.4044564,Pass
294,01.7.2016,infrastructure,ISKAR,TSARIGRADSKO SHOSE 7-MI - 11-TI KM,,,42.6517985,23.3917943,Pass
331,28.7.2016,non-residential,ISKAR,DRUZHBA 2,,,42.6465295,23.4058897,Pass
374,22.8.2016,non-residential,ISKAR,ISKAR-SEVER 1,street 5007,street,42.6652065,23.4133158,Pass
396,31.8.2016,small housing,ISKAR,DRUZHBA,,,42.6644546,23.4010775,Pass
232,18.5.2016,infrastructure,LOZENETS,LOZENETS 3,,,42.6757759,23.3212093,FIXED
257,07.6.2016,small housing,OVCHA KUPEL,GORNA BANYA,street 754,street,42.6802258,23.2293984,FIXED
453,11.10.2016,non-residential,ISKAR,ISKAR-YUG,,,42.662778,23.418611,Pass
463,13.10.2016,infrastructure,ISKAR,ISKAR-SEVER,,,43.1684489,23.9018279,Pass
469,19.10.2016,infrastructure,ISKAR,ISKAR-SEVER,,,43.1684489,23.9018279,Pass
470,19.10.2016,non-residential,ISKAR,GARA ISKAR,,,42.662778,23.418611,Pass
481,26.10.2016,non-residential,ISKAR,GARA ISKAR,street DIMITAR PESHEV 4,street,42.655909,23.414748,Pass
486,28.10.2016,small housing,ISKAR,,DIMITAR MILENKOV 177,DIMITAR,42.6586555,23.4279499,Pass
114,02.2.2016,big housing,IZGREV,DIANABAD,street TINTYAVA,street,42.6674173,23.3536654,Pass
116,04.2.2016,big housing,IZGREV,DIANABAD,,,42.6639561,23.3466107,Pass
207,03.5.2016,big housing,IZGREV,IZTOK - YUG,,,42.6711674,23.3564002,Pass
215,12.5.2016,big housing,IZGREV,DIANABAD,street G. M. DIMITROV 26A,street,42.74619413,23.38633087,Pass
259,08.6.2016,big housing,OVCHA KUPEL,OVCHA KUPEL,street 694,street,42.6734757,23.249526,FIXED
342,02.8.2016,infrastructure,IZGREV,IZTOK - YUG,,,42.6711674,23.3564002,Pass
373,22.8.2016,infrastructure,IZGREV,DIANABAD,,,42.6639561,23.3466107,Pass
410,13.9.2016,big housing,IZGREV,IZTOK - YUG,street NIKOLA MIRCHEV 25,street,42.6721242,23.3477504,Pass
434,29.9.2016,small housing,IZGREV,IZTOK - YUG,street NIKOLA MIRCHEV 25,street,42.6721242,23.3477504,Pass
452,07.10.2016,infrastructure,IZGREV,IZTOK-IZTOK,street TINTYAVA,street,42.6674173,23.3536654,Pass
101,11.1.2016,non-residential,KRASNA POLYANA,TRUDOVI KAZARMI,street SUHOLSKA,street,42.7,23.25,Pass
109,22.1.2016,non-residential,KRASNA POLYANA,ZAPADEN RAYON - SUHODOL,,,42.7027745,23.2580243,Pass
138,07.3.2016,non-residential,KRASNA POLYANA,FAKULTETA,street SUHOLSKA; VL. KURTEV,street,42.7,23.25,Pass
166,30.3.2016,infrastructure,KRASNA POLYANA,ILINDEN,street ALEKSANDAR  STAMBOLIYSKI; block 12,street,42.6970844,23.3202858,Pass
191,21.4.2016,non-residential,KRASNA POLYANA,RAZSADNIKA - KONYOVITSA,,,42.6996411,23.2889484,Pass
238,25.5.2016,non-residential,KRASNA POLYANA,RAZSADNIKA - KONYOVITSA,,,42.6996411,23.2889484,Pass
344,04.8.2016,big housing,KRASNA POLYANA,SREDETS,street ZLATNA BRUDZHA 26,street,42.7,23.25,Pass
352,09.8.2016,small housing,KRASNA POLYANA,TRUDOVI KAZARMI,street SREBROSTRUY 6,street,42.7,23.25,Pass
391,30.8.2016,infrastructure,KRASNA POLYANA,RAZSADNIKA - KONYOVITSA,,,42.6996411,23.2889484,Pass
401,02.9.2016,infrastructure,KRASNA POLYANA,KRASNA POLYANA 1,,,42.6979842,23.2830921,Pass
416,16.9.2016,infrastructure,KRASNA POLYANA,RAZSADNIKA - KONYOVITSA,street ALEKO TURANDZHA; ZHK RAZSADNIKA - KONYOVITSA,street,42.6983965,23.2892441,Pass
417,17.9.2016,infrastructure,KRASNA POLYANA,SUHODOL,street SUHOLSKA 189,street,42.7,23.25,Pass
454,11.10.2016,non-residential,KRASNA POLYANA,FAKULTETA,street BLAGA VEST 3,street,42.6889679,23.2742026,Pass
455,11.10.2016,non-residential,KRASNA POLYANA,TRUDOVI KAZARMI,street SREBROSTRUY 6,street,42.7,23.25,Pass
142,12.3.2016,big housing,KRASNO SELO,BALGARIYA; HIPODRUMA,street HAN PRESIYAN 16,street,42.6868307,23.2998341,Pass
164,30.3.2016,big housing,KRASNO SELO,BAKSTON - SEVER,,,42.6702005,23.2741463,Pass
170,06.4.2016,non-residential,KRASNO SELO,BUKATA,street TOTLEBEN 21,street,42.6895509,23.3074937,Pass
175,12.4.2016,non-residential,KRASNO SELO,TSAR BORIS III,street GEN. EDUARD I. TOTLEBEN 36,street,42.6896373,23.3024056,Pass
184,18.4.2016,infrastructure,KRASNO SELO,,street BOTEVGRADSKO SHOSE; VLADIMIR VAZOV; TSAR BORIS III; OVCHA KUPEL,street,42.6868307,23.2998341,Pass
188,20.4.2016,infrastructure,KRASNO SELO,BELI BREZI,,,42.6773129,23.2973161,Pass
195,27.4.2016,big housing,KRASNO SELO,KRASNO SELO - PLAVATELEN KANAL,,,42.6868307,23.2998341,Pass
202,27.4.2016,non-residential,KRASNO SELO,BUKATA,street TOTLEBEN 21,street,42.6895509,23.3074937,Pass
210,09.5.2016,big housing,KRASNO SELO,HIPODRUMA,,,42.6800708,23.2932839,Pass
236,20.5.2016,small housing,KRASNO SELO,EVREYSKI GROBISHTA,street IVAYLO 39,street,42.6953339,23.3124602,Pass
268,14.6.2016,non-residential,KRASNO SELO,KRASNO SELO - PLAVATELEN KANAL,street PCHELA 21,street,42.6729742,23.2803168,Pass
277,21.6.2016,big housing,KRASNO SELO,KRASNO SELO - PLAVATELEN KANAL,,,42.6868307,23.2998341,Pass
285,28.6.2016,big housing,KRASNO SELO,BOROVO,,,42.6696053,23.2877825,Pass
286,28.6.2016,infrastructure,KRASNO SELO,KRASNO SELO - PLAVATELEN KANAL - SEVER,,,42.6868307,23.2998341,Pass
345,04.8.2016,big housing,KRASNO SELO,BELI BREZI,street SMARCH,street,42.6767832,23.2921437,Pass
362,12.8.2016,non-residential,KRASNO SELO,TSAR BORIS III,,,42.6780979,23.2840553,Pass
385,26.8.2016,big housing,KRASNO SELO,BAKSTON - SEVER,,,42.6702005,23.2741463,Pass
386,26.8.2016,non-residential,KRASNO SELO,KRASNO SELO - PLAVATELEN KANAL - SEVER,street PCHELA 21,street,42.6729742,23.2803168,Pass
450,07.10.2016,big housing,KRASNO SELO,LAGERA,street HRISTO MATOV 19,street,42.6833836,23.2887992,Pass
271,15.6.2016,big housing,OVCHA KUPEL,GORNA BANYA,street 754 17,street,42.6807316,23.2285565,FIXED
319,20.7.2016,non-residential,LOZENETS,DRAGALEVSKA SPIRKA,street HENRIH IBSEN 13,street,42.6588767,23.3148386,Pass
371,18.8.2016,non-residential,LOZENETS,HLADILNIKA VITOSHA,PROMISHLENA ZONA HLADILNIKA,PROMISHLENA,42.6599521,23.3219023,Pass
422,20.9.2016,non-residential,LOZENETS,HLADILNIKA VITOSHA,,,42.6609037,23.3147623,Pass
447,04.10.2016,non-residential,LOZENETS,HLADILNIKA - VITOSHA; CHAST SEVER,,,42.6609037,23.3147623,Pass
279,22.6.2016,big housing,LYULIN,LYULIN 10,street MAKENIYA 1; LYULIN 10,street,42.723894,23.2375028,Pass
318,19.7.2016,infrastructure,LYULIN,MODERNO PREDGRADIE - RAZSHIRENIE,,,42.7211662,23.2809741,Pass
418,19.9.2016,infrastructure,LYULIN,FILIPOVTSI,,,42.7182941,23.2236272,Pass
102,11.1.2016,non-residential,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass
107,20.1.2016,non-residential,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass
111,25.1.2016,non-residential,MLADOST,MLADOST 1A,,,42.6490719,23.3832947,Pass
117,04.2.2016,big housing,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass
118,04.2.2016,non-residential,MLADOST,ALEKSANDAR MALINOV,street D-R ATANAS MOSKOV 20,street,42.628962,23.375083,Pass
120,05.2.2016,infrastructure,MLADOST,IZTOK; KARO,,,42.6711674,23.3564002,Pass
122,05.2.2016,non-residential,MLADOST,MLADOST 4,street BIZNES PARK SOFIYA 5,street,42.62728,23.3751966,Pass
150,17.3.2016,infrastructure,MLADOST,,street ANDREY SAHAROV,street,42.6507505,23.3766601,Pass
165,30.3.2016,big housing,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass
182,18.4.2016,big housing,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass
189,20.4.2016,non-residential,MLADOST,MLADOST 1,,,42.6549083,23.3724167,Pass
190,21.4.2016,big housing,MLADOST,MLADOST 1,,,42.6549083,23.3724167,Pass
203,27.4.2016,non-residential,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass
228,17.5.2016,small housing,MLADOST,MLADOST 1,,,42.6549083,23.3724167,Pass
237,20.5.2016,small housing,MLADOST,GORUBLYANE,,,42.6341348,23.4039813,Pass
260,08.6.2016,small housing,MLADOST,GORUBLYANE,,,42.6341348,23.4039813,Pass
266,14.6.2016,big housing,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass
272,16.6.2016,big housing,MLADOST,MLADOST 1A,,,42.6490719,23.3832947,Pass
283,24.6.2016,non-residential,MLADOST,GORUBLYANE,street PAVEL KRASOV 32,street,42.6358539,23.4101883,Pass
291,30.6.2016,big housing,MLADOST,ALEKSANDAR MALINOV,,,42.6405258,23.3730321,Pass
301,11.7.2016,infrastructure,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass
307,14.7.2016,big housing,MLADOST,MLADOST 1A,street ALEKSANDAR MALINOV,street,42.6405258,23.3730321,Pass
309,14.7.2016,non-residential,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass
324,25.7.2016,big housing,MLADOST,MLADOST 1,,,42.6549083,23.3724167,Pass
339,01.8.2016,small housing,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass
274,17.6.2016,small housing,SLATINA,GEO MILEV,street HEMUS 29,street,42.6831867,23.3570741,FIXED
392,30.8.2016,non-residential,MLADOST,TSARIGRADSKO SHOSE 7-11 KM,,,42.6459519,23.3970398,Pass
414,16.9.2016,big housing,MLADOST,GORUBLYANE,,,42.6341348,23.4039813,Pass
442,30.9.2016,small housing,MLADOST,ALEKSANDAR MALINOV,,,42.6405258,23.3730321,Pass
443,30.9.2016,small housing,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass
460,12.10.2016,infrastructure,MLADOST,MLADOST 1,,,42.6549083,23.3724167,Pass
473,21.10.2016,infrastructure,MLADOST,,street TSARIGRADSKO SHOSE,street,42.6517985,23.3917943,Pass
104,13.1.2016,infrastructure,NADEZHDA,STANKE DIMITROV,,,42.7325,23.298611,Pass
112,01.2.2016,big housing,NADEZHDA,NADEZHDA 2B,,,42.7325,23.298611,Pass
124,08.2.2016,non-residential,NADEZHDA,TREBICH,,,42.7736074,23.3138685,Pass
156,22.3.2016,big housing,NADEZHDA,NADEZHDA 2B,,,42.7325,23.298611,Pass
174,12.4.2016,big housing,NADEZHDA,NADEZHDA 3,,,42.728,23.300945,Pass
179,15.4.2016,big housing,NADEZHDA,STANKE DIMITROV,,,42.7325,23.298611,Pass
193,26.4.2016,non-residential,NADEZHDA,LOMSKO SHOSE,,,42.740461,23.287327,Pass
194,26.4.2016,non-residential,NADEZHDA,VOENNA RAMPA-ZAPAD,street ROZHEN 16,street,41.5345965,23.4334795,Pass
205,28.4.2016,non-residential,NADEZHDA,MOMKOVA MAHALA 2,,,42.7325,23.298611,Pass
209,05.5.2016,small housing,NADEZHDA,MOMKOVA MAHALA 2,,,42.7325,23.298611,Pass
212,09.5.2016,small housing,NADEZHDA,TREBICH,,,42.7736074,23.3138685,Pass
213,10.5.2016,infrastructure,NADEZHDA,SEVEREN PARK,,,42.7414672,23.300081,Pass
227,17.5.2016,big housing,NADEZHDA,TRIAGALNIKA,,,42.7215841,23.303478,Pass
258,08.6.2016,big housing,NADEZHDA,MOMKOVA MAHALA 2,,,42.7325,23.298611,Pass
296,05.7.2016,small housing,SLATINA,PODUENE-REDUTA,street OSTRETS 32,street,42.6913604,23.3606089,FIXED
330,27.7.2016,small housing,NADEZHDA,ILIYANTSI-ZAPAD,,,42.7517455,23.3171679,Pass
336,29.7.2016,non-residential,NADEZHDA,VOENNA RAMPA - ZAPAD,street ILIENSKO SHOSE 3,street,42.733105,23.3173119,Pass
297,06.7.2016,big housing,NADEZHDA,NADEZHDA 2A 2B,street CHUMIR 5,street,42.7320943,23.2955034,FIXED
355,11.8.2016,small housing,NADEZHDA,ILIYANTSI,,,42.7517455,23.3171679,Pass
356,11.8.2016,small housing,NADEZHDA,MOMKOVA MAHALA 2,,,42.7325,23.298611,Pass
357,11.8.2016,small housing,NADEZHDA,NADEZHDA 3,,,42.728,23.300945,Pass
358,11.8.2016,small housing,NADEZHDA,TREBICH,,,42.7736074,23.3138685,Pass
359,11.8.2016,small housing,NADEZHDA,TOLSTOY,,,42.7325,23.298611,Pass
394,31.8.2016,non-residential,NADEZHDA,TREBICH - ST. DVOR,,,42.7736074,23.3138685,Pass
404,07.9.2016,non-residential,NADEZHDA,ILIYANTSI-ZAPAD,,,42.7517455,23.3171679,Pass
419,19.9.2016,small housing,NADEZHDA,NADEZHDA 2,,,42.7325,23.298611,Pass
444,30.9.2016,small housing,NADEZHDA,SKLADOVA ZONA - ILIYANTSI,,,42.7427582,23.2863287,Pass
451,07.10.2016,big housing,NADEZHDA,NADEZHDA 1B,,,42.7325,23.298611,Pass
457,12.10.2016,big housing,NADEZHDA,NADEZHDA 2B,street PROF. NIKOV; EKZARH STEFAN,street,42.7300715,23.3006344,Pass
121,05.2.2016,infrastructure,OBORISHTE,ZONA G-13 YUG,street TRAKIYA 26,street,42.696389,23.340833,Pass
127,16.2.2016,infrastructure,OBORISHTE,ZONA G-13,street PANAYOT VOLOV 26-28-30,street,42.74386377,23.307031,Pass
183,18.4.2016,big housing,OBORISHTE,PODUYANE - TSENTAR,street VASIL DRUMEV,street,42.6954628,23.3508083,Pass
187,20.4.2016,big housing,OBORISHTE,ZONA G-13,street HRISTO KOVACHEV 32,street,42.7023244,23.3356499,Pass
201,27.4.2016,big housing,OBORISHTE,PODUYANE - TSENTAR,,,42.6934131,23.3721393,Pass
218,12.5.2016,infrastructure,OBORISHTE,ZONA G-13,street PANAYOT VOLOV 26-28-30,street,42.71676858,23.33451598,Pass
221,12.5.2016,non-residential,OBORISHTE,ZONA G-14,street MARIYA LUIZA 22,street,42.7009658,23.3229407,Pass
293,30.6.2016,small housing,OBORISHTE,ZONA G-12,street SHIPKA 35,street,42.6929779,23.3430597,Pass
365,16.8.2016,infrastructure,OBORISHTE,PODUYANE - TSENTAR,street BUNAYA 16,street,42.6938728,23.3525744,Pass
389,29.8.2016,non-residential,OBORISHTE,ZONA G-13,,,42.696389,23.340833,Pass
400,01.9.2016,infrastructure,OBORISHTE,PODUYANE - TSENTAR,street BUNAYA 16,street,42.6938728,23.3525744,Pass
477,25.10.2016,big housing,OBORISHTE,ZONA G-13,,,42.696389,23.340833,Pass
100,07.1.2016,non-residential,OVCHA KUPEL,SEKULITSA,SUHOL,SUHOL,42.04504,22.0499272,Pass
126,16.2.2016,big housing,OVCHA KUPEL,OVCHA KUPEL,street 683; OVCHA KUPEL,street,42.6786137,23.2687006,Pass
146,16.3.2016,infrastructure,OVCHA KUPEL,OVCHA KUPEL 1,street PROMISHLENA; OVCHA KUPEL - 1,street,42.6847851,23.2505591,Pass
147,16.3.2016,infrastructure,OVCHA KUPEL,OVCHA KUPEL,street ZEMLYANE,street,42.6851058,23.2738218,Pass
178,14.4.2016,non-residential,OVCHA KUPEL,OVCHA KUPEL,street ARH. FRANK LOYD RAYT 6,street,42.58251493,23.08940268,Pass
181,15.4.2016,big housing,OVCHA KUPEL,GORNA BANYA,street ROZA,street,42.6775905,23.2315759,Pass
223,13.5.2016,infrastructure,OVCHA KUPEL,GORNA BANYA,street PLANINITSA,street,42.6765949,23.2387561,Pass
250,02.6.2016,infrastructure,OVCHA KUPEL,OVCHA KUPEL 2,street PREZIDENT LINKALN,street,42.6826266,23.2712596,Pass
298,07.7.2016,big housing,SLATINA,GEO MILEV,street VINITSA 2,street,42.6883948,23.3527371,FIXED
320,21.7.2016,big housing,SLATINA,GEO MILEV-PODUENE-REDUTA,street POPOVA SHAPKA 44,street,42.6888531,23.3572476,FIXED
323,22.7.2016,big housing,SLATINA,HR. SMIRNENSKI - SLATINA,street KIRIL BOZHIKOV 22,street,42.6888947,23.3676447,FIXED
276,20.6.2016,small housing,OVCHA KUPEL,GORNA BANYA,,,42.6791745,23.2376816,Pass
280,23.6.2016,big housing,OVCHA KUPEL,OVCHA KUPEL,street BORYANA 41,street,42.6739454,23.2579387,Pass
302,11.7.2016,infrastructure,OVCHA KUPEL,OVCHA KUPEL 2,,,42.683056,23.243056,Pass
306,13.7.2016,big housing,OVCHA KUPEL,OVCHA KUPEL,street LYUBLYANA 21,street,42.6737451,23.2636596,Pass
312,14.7.2016,small housing,OVCHA KUPEL,GORNA BANYA,street INZH. BORISLAV OGOYSKI,street,42.6769177,23.2435645,Pass
322,21.7.2016,small housing,OVCHA KUPEL,GORNA BANYA,street IZVOR 14; GORNA BANYA,street,42.6791745,23.2376816,Pass
341,02.8.2016,big housing,OVCHA KUPEL,GORNA BANYA,street LOTOS; GORNA BANYA,street,42.6796683,23.2386472,Pass
351,09.8.2016,non-residential,OVCHA KUPEL,YUBILEYNA GORA,street MONTEVIDEO 107,street,42.6916163,23.2537053,Pass
363,15.8.2016,non-residential,OVCHA KUPEL,OVCHA KUPEL,street MESECHINKA 7,street,42.688676,23.2658757,Pass
366,16.8.2016,non-residential,OVCHA KUPEL,OVCHA KUPEL,street NIKOLA PETKOV 76,street,42.683056,23.243056,Pass
337,29.7.2016,small housing,NADEZHDA,TOLSTOY,street ELOV L 46; LEV TOLSTOY,street,42.7257394,23.3093314,FIXED
384,25.8.2016,small housing,OVCHA KUPEL,OVCHA KUPEL,street NARODNO HORO,street,42.6781458,23.2602168,Pass
393,30.8.2016,small housing,OVCHA KUPEL,OVCHA KUPEL,street MESECHINKA,street,42.6884327,23.2664185,Pass
398,31.8.2016,small housing,OVCHA KUPEL,GORNA BANYA,,,42.6791745,23.2376816,Pass
403,02.9.2016,small housing,OVCHA KUPEL,GORNA BANYA,street NIKOLA PETKOV 89,street,42.683056,23.243056,Pass
431,28.9.2016,non-residential,OVCHA KUPEL,GORNA BANYA,street KAMENITSA 2,street,42.6172524,23.3374616,Pass
459,12.10.2016,big housing,OVCHA KUPEL,PODLOZISHTE - GORNA BANYA - RAZSHIRENIE,street 756 7; GORNA BANYA,street,42.6791745,23.2376816,Pass
461,12.10.2016,non-residential,OVCHA KUPEL,OVCHA KUPEL,,,42.683056,23.243056,Pass
472,20.10.2016,small housing,OVCHA KUPEL,GORNA BANYA,street 758; GORNA BANYA,street,42.683056,23.243056,Pass
478,26.10.2016,big housing,OVCHA KUPEL,OVCHA KUPEL,street NARODNO HORO,street,42.6781458,23.2602168,Pass
123,08.2.2016,big housing,PODUYANE,HADZHI DIMITAR,street D-R ALBERT LONG 10,street,42.7030612,23.3495811,Pass
140,11.3.2016,infrastructure,PODUYANE,HADZHI DIMITAR - MALASHEVTSI,street SKAYLER 1,street,42.6934131,23.3721393,Pass
152,18.3.2016,infrastructure,PODUYANE,SUHA REKA,street PLAKALNITSA; block 60,street,42.7004619,23.3685978,Pass
185,18.4.2016,non-residential,PODUYANE,LEVSKI ZONA V,street LETOSTRUY 73,street,42.6934131,23.3721393,Pass
186,20.4.2016,big housing,PODUYANE,HADZHI DIMITAR,,,42.707705,23.3490691,Pass
196,27.4.2016,big housing,PODUYANE,HADZHI DIMITAR,street NEMIROVICH-DANCHENKO,street,42.6934131,23.3721393,Pass
229,17.5.2016,small housing,PODUYANE,HADZHI DIMITAR - MALASHEVTSI,street REZBARSKA 7,street,42.7122735,23.3551962,Pass
